,AtBat,Hits,HmRun,Runs,RBI,Walks,Years,CAtBat,CHits,CHmRun,CRuns,CRBI,CWalks,PutOuts,Assists,Errors,Salary
Kent Hrbek,550,147,29,85,91,71,6,2816,815,117,405,474,319,1218,104,10,1310
Steve Buechele,461,112,18,54,54,35,2,680,160,24,76,75,49,111,226,11,135
Terry Kennedy,19,4,1,2,3,1,1,19,4,1,2,3,1,692,70,8,920
Jim Presley,616,163,27,83,107,32,3,1437,377,65,181,227,82,110,308,15,200
Ken Landreaux,283,74,4,34,29,22,10,3919,1062,85,505,456,283,145,5,7,737.5
Mike Diaz,209,56,12,22,36,19,2,216,58,12,24,37,19,201,6,3,90
Willie Upshaw,573,144,9,85,60,78,8,3198,857,97,470,420,332,1314,131,12,960
Phil Garner,313,83,9,43,41,30,14,5885,1543,104,751,714,535,58,141,23,450
Jack Clark,232,55,9,34,23,45,12,4405,1213,194,702,705,625,623,35,3,1300
Eric Davis,415,115,27,97,71,68,3,711,184,45,156,119,99,274,2,7,300
Kal Daniels,181,58,6,34,23,22,1,181,58,6,34,23,22,88,0,3,86.5
Mike Heath,288,65,8,30,36,27,9,2815,698,55,315,325,189,259,30,10,650
Gary Pettis,539,139,5,93,58,69,5,1469,369,12,247,126,198,462,9,7,400
Bob Brenly,472,116,16,60,62,74,6,1924,489,67,242,251,240,518,55,3,600
Len Dykstra,431,127,8,77,45,58,2,667,187,9,117,64,88,283,8,3,202.5
Alan Wiggins,239,60,0,30,11,22,6,1941,510,4,309,103,207,121,151,6,700
John Kruk,278,86,4,33,38,45,1,278,86,4,33,38,45,102,4,2,110
Carmelo Martinez,244,58,9,28,25,35,4,1335,333,49,164,179,194,142,14,2,340
Vince Coleman,600,139,0,94,29,60,2,1236,309,1,201,69,110,300,12,9,160
Jim Sundberg,429,91,12,41,42,57,13,5590,1397,83,578,579,644,686,46,4,825
Joel Youngblood,184,47,5,20,28,18,11,3327,890,74,419,382,304,49,2,0,450
Tim Hulett,520,120,17,53,44,21,4,927,227,22,106,80,52,70,144,11,185
Argenis Salazar,298,73,0,24,24,7,3,509,108,0,41,37,12,121,283,9,100
Mike Kingery,209,54,3,25,14,12,1,209,54,3,25,14,12,102,6,3,68
Steve Jeltz,439,96,0,44,36,65,4,711,148,1,68,56,99,229,406,22,150
Robin Yount,522,163,9,82,46,62,13,7037,2019,153,1043,827,535,352,9,1,1000
Johnny Grubb,210,70,13,32,51,28,15,4040,1130,97,544,462,551,0,0,0,365
Marvell Wynne,288,76,7,34,37,15,4,1644,408,16,198,120,113,203,3,3,240
Mike Young,369,93,9,43,42,49,5,1258,323,54,181,177,157,149,1,6,350
Ray Knight,486,145,11,51,76,40,11,3967,1102,67,410,497,284,88,204,16,500
Mickey Tettleton,211,43,10,26,35,39,3,498,116,14,59,55,78,463,32,8,120
Gary Ward,380,120,5,54,51,31,8,3118,900,92,444,419,240,237,8,1,600
Chet Lemon,403,101,12,45,53,39,12,5150,1429,166,747,666,526,316,6,5,675
Will Clark,408,117,11,66,41,34,1,408,117,11,66,41,34,942,72,11,120
Dan Pasqua,280,82,16,44,45,47,2,428,113,25,61,70,63,148,4,2,110
Mike Aldrete,216,54,2,27,25,33,1,216,54,2,27,25,33,317,36,1,75
Dave Anderson,216,53,1,31,15,22,4,926,210,9,118,69,114,73,152,11,225
Ted Simmons,127,32,4,14,25,12,19,8396,2402,242,1048,1348,819,167,18,6,500
Wade Boggs,580,207,8,107,71,105,5,2778,978,32,474,322,417,121,267,19,1600
Rick Schu,208,57,8,32,25,18,3,653,170,17,98,54,62,42,94,13,140
Keith Moreland,586,159,12,72,79,53,9,3082,880,83,363,477,295,181,13,4,1043.333
Tim Flannery,368,103,3,48,28,54,8,1897,493,9,207,162,198,209,246,3,326.667
Rob Wilfong,288,63,3,25,33,16,10,2682,667,38,315,259,204,135,257,7,341.667
Candy Maldonado,405,102,18,49,85,20,6,950,231,29,99,138,64,161,10,3,415
Alan Ashby,315,81,7,24,38,39,14,3449,835,69,321,414,375,632,43,10,475
Jerry Mumphrey,309,94,5,37,32,26,13,4618,1330,57,616,522,436,161,3,3,600
Pete Incaviglia,540,135,30,82,88,55,1,540,135,30,82,88,55,157,6,14,172
Greg Walker,282,78,13,37,51,29,5,1649,453,73,211,280,138,670,57,5,500
Oddibe McDowell,572,152,18,105,49,65,2,978,249,36,168,91,101,325,13,3,200
Brian Downing,513,137,20,90,95,90,14,5201,1382,166,763,734,784,267,5,3,900
Gary Redus,340,84,11,62,33,47,5,1516,376,42,284,141,219,185,8,4,400
Milt Thompson,299,75,6,38,23,26,3,580,160,8,71,33,44,212,1,2,140
Tony Bernazard,562,169,17,88,73,53,8,3181,841,61,450,342,373,351,442,17,530
Gary Gaetti,596,171,34,91,108,52,6,2862,728,107,361,401,224,118,334,21,900
Glenn Hubbard,408,94,4,42,36,66,9,3573,866,59,429,365,410,282,487,19,535
Wally Joyner,593,172,22,82,100,57,1,593,172,22,82,100,57,1222,139,15,165
Joe Carter,663,200,29,108,121,32,4,1447,404,57,210,222,68,241,8,6,250
Rickey Henderson,608,160,28,130,74,89,8,4071,1182,103,862,417,708,426,4,6,1670
Garry Templeton,510,126,2,42,44,35,11,5562,1578,44,703,519,256,207,358,20,737.5
Tim Teufel,279,69,4,35,31,32,4,1359,355,31,180,148,158,133,173,9,277.5
Steve Garvey,557,142,21,58,81,23,18,8759,2583,271,1138,1299,478,1160,53,7,1450
Hal McRae,278,70,7,22,37,18,18,7186,2081,190,935,1088,643,0,0,0,325
Andy VanSlyke,418,113,13,48,61,47,4,1512,392,41,205,204,203,211,11,7,550
Rick Manning,205,52,8,31,27,17,12,5134,1323,56,643,445,459,155,3,2,400
Steve Sax,633,210,6,91,56,59,6,3070,872,19,420,230,274,367,432,16,90
Darnell Coles,521,142,20,67,86,45,4,815,205,22,99,103,78,107,242,23,105
Von Hayes,610,186,19,107,98,74,6,2728,753,69,399,366,286,1182,96,13,1300
Bill Schroeder,217,46,7,32,19,9,4,694,160,32,86,76,32,307,25,1,180
Darrell Porter,155,41,12,21,29,22,16,5409,1338,181,746,805,875,165,9,1,260
Mike Marshall,330,77,19,47,53,27,6,1928,516,90,247,288,161,149,8,6,670
